docno,text
d20,"1967-1970 the beatles rock, pop gatefold sleeve + insert. hype sticker: the classic compilation now expanded with 9 extra tracks including the single now and then 3lp's featuring 37 tracks half-speed master on limited edition blue vinyl. [universal music group international logo] [apple logo] [barcode: 0 602455 92080 5] 0602455920805 made in the e.u. sticker: made in germany ' matrix numbers are hand etched in the runout area. plating marks like '1+x', '1=⊥', '1ix', '1=+','⊥∧' and '1⋀' are mirrored."
d21,"golden hour kacey musgraves vinyl me, please exclusive pressing on 180g orange-in-pink vinyl. limited to 2,000 foil-stamped, hand-numbered copies."
d22,"one more time... blink-182 rock © 2023 & ℗ 2022, 2023 viking wizard eyes, llc under exclusive license to columbia records, a division of sony music entertainment. 'spotify fans first' exclusive variant. includes insert and printed inner sleeve. — information regarding production locations: • a1 to a8, b1 to b8: recorded by kevin ""thrasher"" gruft, nicholas morzov, kevin bivona, eric emery & john warren at the waiting room (los angeles, ca) and aaron rubin at jupiter sound (san diego, ca). • a9: recorded by aaron rubin at 69 studios (san diego, ca), kevin ""thrasher"" gruft at califa studios (los angeles, ca) & nicholas morzov at the waiting room (los angeles, ca). mixed [...] at mixstar studios, virginia beach, va. mastered [...] at sterling sound (edgewater, nj). — publishing information a1: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). a2: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing / eyes & kites music and bmg gold songs (ascap) a3: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing / write me a song publishing (bmi) admin. by downtown music llc / fiction songs ltd (prs.) admin. by universal music publishing - mgb limited (ascap). a4: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing. a5: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / concord copyrights o/b/o these are pulse songs, songs by gregory hein and wide eyed global (bmi) / kobalt music publishing america, inc. a6: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). a7: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) universal music publishing / songs of universal inc. and dong hoe music (bmi). a8: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) universal music publishing / songs of universal inc. and dong hoe music (bmi). a9: © 2022 songs of kobalt music publishing (bmi) / beat poet (ascap). all rights admin. by wc music corp. / hmnim music and beat poet music (ascap) / inuranus music (ascap). b1: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / warner-tamerlane publishing corp., what key do you want it in music and songs with a pure tone (bmi) / kobalt music publishing america inc. and dear you publishing. b2: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). b3: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america inc. and dear you publishing. b4: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) b5:© 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). b6: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / how about a bunch of trouble music (ascap) / wixen. b7: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap). b8: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / universal music publishing / songs of universal inc. and dong hoe music (bmi) / eyes & kites music and bmg gold songs (ascap)."
d23,"1989 (taylor's version) taylor swift pop issued in a standard jewel case with a 16-page booklet with lyrics, photos and credits. includes 1 set of 5 unique double-sided collectible photo cards with 15 never-before-seen photos and lyrics ""from the vault"". ""made in germany"" sticker and stickered barcode on the reverse, there is no hype sticker on the front. sold via the artist's webstores. ℗© 2023 taylor swift."
d24,"chronicles of a diamond black pumas rock, funk / soul 4,000 copies pressed worldwide per the band's website. 500 were available to purchase signed by the band on the record cover. housed in a foil-stamped jacket with an alternate cover."
d25,"one more time... blink-182 rock © 2023 & ℗ 2022, 2023 viking wizard eyes llc under exclusive license to columbia records, a division of sony music entertainment. tom's cement marble variant is a one-time pressing. limited d2c exclusive color — information regarding production locations: • a1 to a8, b1 to b8: recorded by kevin ""thrasher"" gruft, nicholas morzov, kevin bivona, eric emery & john warren at the waiting room (los angeles, ca) and aaron rubin at jupiter sound (san diego, ca). • a9: recorded by aaron rubin at 69 studios (san diego, ca), kevin ""thrasher"" gruft at califa studios (los angeles, ca) & nicholas morzov at the waiting room (los angeles, ca). mixed [...] at mixstar studios, virginia beach, va. mastered [...] at sterling sound (edgewater, nj). — additional information: • even though for this pressing there is no pressing identifier present within runout area and no statement by label or marketing operations it was verified by lacquer cutting engineer (jn-h) this pressing was pressed at united record pressing. • in runout variant 2 last digit in ""al196587782312"" (side a) is displayed as superscript (²). — publishing information a1: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). a2: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing / eyes & kites music and bmg gold songs (ascap) a3: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing / write me a song publishing (bmi) admin. by downtown music llc / fiction songs ltd (prs.) admin. by universal music publishing - mgb limited (ascap). a4: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america, inc. and dear you publishing. a5: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / concord copyrights o/b/o these are pulse songs, songs by gregory hein and wide eyed global (bmi) / kobalt music publishing america, inc. a6: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). a7: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) universal music publishing / songs of universal inc. and dong hoe music (bmi). a8: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) universal music publishing / songs of universal inc. and dong hoe music (bmi). a9: © 2022 songs of kobalt music publishing (bmi) / beat poet (ascap). all rights admin. by wc music corp. / hmnim music and beat poet music (ascap) / inuranus music (ascap). b1: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / warner-tamerlane publishing corp., what key do you want it in music and songs with a pure tone (bmi) / kobalt music publishing america inc. and dear you publishing. b2: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). b3: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / kobalt music publishing america inc. and dear you publishing. b4: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) b5:© 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / eyes & kites music and bmg gold songs (ascap). b6: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / how about a bunch of trouble music (ascap) / wixen. b7: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap). b8: © 2023 beat poet music and wc music corp. (ascap) / hmnim music admin by kobalt songs music publishing (ascap) / inuranus music (ascap) / universal music publishing / songs of universal inc. and dong hoe music (bmi) / eyes & kites music and bmg gold songs (ascap)."
d26,"teenage dream katy perry electronic, hip hop, rock, pop teenage dream 13th anniversary edition / ""teenager edition"" on red/white peppermint ""pinwheel"" vinyl with bonus complete confection tracks. sold as part of the box set or separately on the artist's webstores. issued in a gatefold sleeve with matte and gloss varnishes. includes printed inner sleeves and a 24"" poster featuring previously unseen imagery from the original album shoot. ""made in czech republic"" sticker attached to the rear shrink wrap. track a3: appears courtesy of / . track d2: appears courtesy of / . track d3: appears courtesy of / . — catalog numbers: ""b003807901"" on gatefold spine. ""b003807901. 0602455740731"" on gatefold back cover. ""b003807901-ev01. 0602455740748"" on inner sleeve 1. ""b003807901-ev02. 0602455740755"" on inner sleeve 2. ""b003807901-ns01. 0602455740731"" on poster. capitol records; ℗ 2012 © 2023 capitol records, llc."
d27,"1989 (taylor's version) taylor swift electronic, pop issued in a standard jewel case with a 16-page booklet with lyrics, photos and credits. includes 1 set of 5 unique double-sided collectible photo cards with 15 never-before-seen photos and lyrics ""from the vault"". ""made in germany"" sticker and stickered barcode on the reverse, there is no hype sticker on the front. sold via the artist's webstores. ℗© 2023 taylor swift."
d28,"substance new order electronic, pop comes in a spot gloss slipcase, inside a four panel foldout case with a 12-page booklet. some copies contain ""made in germany"" sticker on rear slipcase. from slipcase, foldout case, discs, and booklet back page: a factory compact disc. ℗1987, 2023 warner music uk ltd. ©2023 warner music uk ltd. from booklet, page 11: ℗ & © 2023 warner music uk ltd. a warner music group company. made in germany. upc 5054197717901 booklet credits: track 1-4: engineered by michael johnson track 1-5: no credit for engineer track 1-9: also produced by john robie track 1-10: engineered by michael johnson track 1-1 is the version of ceremony released september, 1981 (re-recorded after joined) tracks 1-3 and 1-5 are re-recordings from may 1987, as featured on the original 1987 cd track 3-1 is the original march, 1981 version of ceremony track 4-8 patched with audio from park west, park city, utah (september 9th, 1987) track 4-9 patched with audio from , morrison, colorado (september 8th, 1987) hype sticker (not on all copies): new order - substance remastered and expanded 4cd set includes substance, live from irvine meadows california, 1987 facd 200"
d29,"substance new order electronic, pop remastered double lp fact 200 issued in embossed cover and records in printed sleeves. barcode as a sticker on sleeve rather than printed on the sleeve. inner sleeves: 1987 factory communications limited some copies contain ""made in germany"" sticker on rear cover. a factory record ℗ 1987, 2023 warner music uk ltd. © 2023 warner music uk ltd. in variant 2 runouts, ""21"", and ""t1"" are mirrored. all is etched."
d30,"1989 (taylor's version) taylor swift pop issued in a standard jewel case with a 16-page booklet with lyrics, photos and credits. includes 1 set of 5 unique double-sided collectible photo cards with 15 never-before-seen photos and lyrics ""from the vault"". ""made in germany"" sticker and stickered barcode on the reverse, there is no hype sticker on the front. sold via the artist's webstores. ℗ © 2023 taylor swift."
d31,"1962-1966 / 1967-1970 the beatles rock the classic compilation now expanded with extra tracks including the single ""now and then"". 6 lps featuring 75 tracks. half speed master on 180 gram red & blue vinyl. colour scheme exclusive to the official beatles store. the two compilation albums are presented in a sturdy side opening slipcase type box which has a high gloss finish and a v-cut notch to the open edge. there is text to one closed edge. the artist to the front is in silver foil block detail. the two albums retain the original style four panel gatefold sleeves, but this time with three discs each. each disc is held in a top opening printed sleeve of card. the discs are translucent. each album contains a 12"" square insert, printed on both sides. package came shrink-wrapped affixed to which is a barcoded hype sticker. copies may come with a second sticker on the reverse showing ""made in germany"". runouts are etched. each runout contains mirrored geometric plating marks."
d32,"wolf tyler, the creator hip hop wolf boxset released to celebrate 10th anniversary. was only able on golfwang.com for april 7th to april 13th 2023. all 4 records have their own individual sleeves with 4 different versions of the album cover. instrumentals are on blue vinyl while the regular tracks are on the same pink vinyl as the other releases. includes wolf film screenplay in a booklet."
d33,"hackney diamonds rolling stones rock, blues limited edition of 10,000 copies. exclusive distributor blood records. runouts are stamped except ""ⅰ"" which is etched."
d34,"one more time... blink-182 rock © 2023 & ℗ 2022, 2023 viking wizard eyes llc under exclusive license to columbia records, a division of sony music entertainment."
d35,"lust for life lana del rey pop ℗ & © 2017 lana del rey, under exclusive license to polydor records, a division of universal music operations limited / interscope records, a division of umg recordings, inc. limited edition reissue for the album's 6 year anniversary. a coke bottle clear pressing of this album was before available at urban outfitters as an urban outfitters exclusive, which was more transparent than this release. disc 1 is a repress of lacquers used for . disc 2 however was cut new for this release. statement by webstore: ""this is a limited-edition re-press on coke bottle clear vinyl, previously only available at urban outfitters, but will now be available as a d2c exclusive worldwide."" — production locations: all tracks mastered by adam ayan at gateway mastering except track a1 mastered by mike bozzi at bernie grundman mastering. all songs recorded at the green building, l.a. and hampstead studios, london. except track a1 recorded at the green building, l.a. and hampstead studios, london, electric lady studios in new york city, ny and sole studios, london. vocals recorded at strongroom, london. track b1 recorded at record plant, la and hampstead studios, london. track c3 recorded at electric lady studios in new york city and hampstead studios in london. track c4 recorded at the farm studios, new york & hampstead studios, london. design [...] at big active, london. — publishing information: love: published by heavy crate publishing (ascap) / universal music publishing / please don't forget to pay me music (gmr) / administered by universal music publishing (gmr) / r-rated music administered by emi april music inc (global music rights) / sony / atv music publishing. lust for life: published by mxm (administered by kobalt) (ascap) / r-rated music administered by emi april music inc (global music rights) / songs music publishing, llc o/b/o songs of smp (ascap) / sony/atv music publishing (ascap). 13 beaches: published by r-rated music administered by emi april music inc (global music rights) / sony / atv music publishing. contains audio snippet from the motion picture 'carnival of souls' courtesy of peter soby and matthew irvine. contains audio snippet from the motion picture 'carnival of souls', performed by candace hilligoss. cherry: published by sony / atv music publishing / tap music publishing limited. white mustang: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). summer bummer: published by 1damentional publishing (ascap) / sony/atv tunes llc (ascap) / a$ap rocky music publishing llc/sony/atv songs llc (bmi) / brother bagz publishing/ warner-tamerlane publishing corp. (bmi) / jahaan sweet publishing designee (bmi) / sony / atv music publishing / sony/atv music publishing (ascap). groupie love: published by a$ap rocky music publishing llc/sony/atv songs llc (bmi) / r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). in my feelings: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). coachella - woodstock in my mind: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing. god bless america - and all the beautiful women in it: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). when the world was at war we kept dancing: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap) / untitled4 (ascap). beautiful people beautiful problems: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap) / welsh witch music (bmi) administered by songs of kobalt music publishing (bmi). tomorrow never came: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap) / talentless music / sony atv (bmi). heroin: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). change: published by r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap). get free published by cosmic lime (ascap) / r-rated music administered by emi april music inc (global music rights) / sony/atv music publishing (ascap)."
d36,"katy catalog katy perry electronic, hip hop, rock, pop holographic slipcase, hand-numbered out of 10,000 copies. — description of contents: • : the original album on cloudy blue sky vinyl housed in an embossed jacket. bonus 7"" of ""a cup of coffee"" and ""i think i’m ready"" on translucent violet vinyl with new cover art. 2024 calendar featuring the original album shoot + previously unseen imagery. • : the original album on red/white peppermint ""pinwheel"" vinyl with bonus complete confection tracks. packaging features matte and gloss varnishes + additional photography. 24"" poster featuring previously unseen imagery from the original album shoot. • : the original album on ""prismatic splatter"" vinyl + 3 bonus tracks. packaging features rainbow holofoil lettering. 12 page deluxe photobook featuring the original album shoot + previously unseen imagery. — phonographic copyright information: • one of the boys: ℗ 2008 © 2023 capitol records, llc. • bonus 7"": ℗ 2008 © 2023 capitol records, llc. • teenage dream: ℗ 2012 © 2023 capitol records, llc. • prism: ℗ 2013 © 2023 capitol records, llc. — applicable catalog numbers: • one of the boys: b003807501 / 0602455741523 (jacket) / 0602455741530 (printed inner sleeve) • bonus 7"": b003807621 / 0602455741554 (jacket) • teenage dream: b003807901 / 0602455740731 (jacket) / b003807901-ev01 & 0602455740748 (printed inner sleeve 1) / b003807901-ev02 & 0602455740755 (printed inner sleeve 2) • prism: b003808101 / 0602455734631 (jacket) / b003808101-ev01 & 0602455734686 (printed inner sleeve 1) / b003808101-ev02 & 0602455734693 (printed inner sleeve 2) — production locations: one of the boys: a1: recorded by paul hager at deathstar studios and butch's old house, los feliz, ca. mixed by joe zook at aus studios, studio city, ca. a2: drum recording & additional drum production by mike caffrey at monster island, nyc. produced by dr. luke for kasz money productions, inc. recorded at dr. luke's nyc, conway recording studio, hollywood, ca and legacy recording studio, new york, my. mixed by serban ghenea at mixstar studios, virginia beach, va. a3: recorded by greg wells at rocket carousel studio, los angeles, ca. mixed by joe zook at aus studios, studio city, ca. a4: recorded by paul hager at deathstar studios and butch's old house, los feliz, ca. mixed by joe zook at aus studios, studio city, ca. a5: recorded by luke tozour at rocket carousel, los angeles, ca. mixed by greg wells at rocket carousel, los angeles, ca. a6: recorded by drew pearson at rocket carousel studio, los angeles, ca. mixed by joe zook at aus studios, studio city, ca. b1: produced by dr. luke for kasz money productions, inc. recorded at dr. luke's nyc, conway recording studio, hollywood, ca and legacy recording studio, new york, my. mixed by serban ghenea at mixstar studios, virginia beach, va. b2: recorded by sean gould at freshskills, nyc. mixed by joe zook at aus studios, studio city, ca. b3: drums engineered by mike fennel at umpg studios, los angeles, ca. recorded by ted buner at rondor studios, los angeles, ca. mixed by joe zook at aus studios, studio city, ca. b4: recorded by doug boehm at capitol studios, los angeles, ca and the compound, los angeles, ca. mixed by joe zook at aus studios, studio city, ca. b5: recorded by ned douglas and bill malina at unstable studios, guillham's farm haslemere, surrey uk and aerowave studio, encino, ca. mixed by joe zook at aus studios, studio city, ca. b6: recorded by greg wells at rocket carousel studio, los angeles, ca. mixed by joe zook at aus studios, studio city, ca. [...] f1: engineered by brian ""b-luv"" thomas, andrew wuepper, chris ""tek"" o'ryan and pat thrall at studio at the palms, las vegas, nv, triangle sound studios, atlanta, ga, triangle sound studios, encino, ca, the boom boom room, burbank, ca and silent sound studios, atlanta, ga. mixed by serban ghenea at mixstar studios, virginia beach, va. a cup of coffee b / w i think i'm ready (bonus 7"") k1: recorded by scott campbell at aerowave studios, encino, ca. mixed by joe zook at aus studios, studio city, ca. p1: recorded by ted bruner at rondor studios, los angeles, ca. mixed by ted bruner at rondor studios, los angeles, ca. mixed by serban ghenea at mixstar studios, virginia beach, va. mastered by chris gehringer at sterling sound, ny. — additional information: • each boxset includes one of three randomly selected lithographs, each themed after one of the albums. • all vinyl records in this box set have also been made available individually (see links above). • sticker on shrink wrap (bottom of box) reads: ""made in czech republic"". • 7"" was announced as violet opaque, but turned out to be violet translucent. • original painting by will cotton (teenage dream). courtesy of mary boone gallery. • the tracks for prism have been listed sequentially the way they are printed on the backside of the gatefold jacket, as well as across all center labels."
d37,"now and then / love me do the beatles rock exclusive red vinyl 12 inch release, available from the following stores: - in usa: - in the uk: (release date: 10 nov 2023) - in germany, austria, switzerland: - in the netherlands: - in france: - in new zealand: - in finland: - in canada: - in méxico: - in italy: - in japan: - in belgium: - in belgium: tony's muziekhuis - in sweden: - in norway: this has the same catalog number 0602458129526 as the black vinyl pressing (located on labels and bottom back of sleeve) but with different barcodes, which is located on the hype sticker adhered to the shrinkwrap. side b is the ""1962 original uk single version"", with ringo on drums, mixed to stereo for the first time. side a label states ""mfd. in e.u.""; side b label and back of sleeve state ""made in the e.u."" ""made in germany"" (white sticker with black lettering on back cover shrink wrap). ℗ & © 2023 matrix numbers are hand etched in the runout area. plating marks like '⋀=1', '+=1','1i∆' '1it', '1iλ' and '1i⊥' are mirrored. source separation/mal courtesy of wingnut films productions ltd."
d38,"one more time... blink-182 rock sticker indicates ""indie exclusive coke bottle clear colored vinyl"" 500 copies of this release were also retailed by assai records with an approved hand numbered japanese style obi under assai obi editions. © 2023 & ℗ 2022, 2023 viking wizard eyes llc under exclusive license to columbia records, a division of sony music entertainment. made in the eu."
